preference_model,pricing_model,n_items,gamma,delta,K,alpha,lambda_,total_revenue,avg_revenue_per_user,utility_gap,revenue_gap,exposure_gap,exposure_random_gap,minority_exposure,price_error_minority,price_error_all
zipfian,fixed,50,0.7,0.99,3,0.9,0.1,151.5,0.505,0.24724524522565544,0.35099846390168965,-0.06555555555555559,0.034444444444444416,0.16555555555555557,,
zipfian,fixed,50,0.7,0.99,3,0.9,0.25,151.5,0.505,0.24724524522565544,0.35099846390168965,-0.06555555555555559,0.034444444444444416,0.16555555555555557,,
zipfian,mle,50,0.0,0.95,1,0.9,0.1,123.38199999999998,0.41127333333333327,0.34609653282067443,0.42494834362717576,0.023333333333333317,0.12333333333333332,0.07666666666666666,0.6028,1.1658
zipfian,mle,50,0.0,0.95,1,0.9,0.25,119.67699999999998,0.39892333333333324,0.3302282127812098,0.4114264458169568,0.01666666666666665,0.11666666666666665,0.08333333333333333,0.5839000000000001,1.1808599999999998
zipfian,mle,50,0.0,0.95,3,0.9,0.1,194.031,0.6467700000000001,0.2030263786137107,0.6051758004556902,-0.0677777777777778,0.03222222222222221,0.16777777777777778,1.0112,1.3957400000000002
zipfian,mle,50,0.0,0.95,3,0.9,0.25,191.305,0.6376833333333334,0.2744264889330539,0.646487466598804,-0.062222222222222234,0.03777777777777777,0.1622222222222222,0.9799000000000001,1.4183399999999997
zipfian,mle,50,0.0,0.99,1,0.9,0.1,123.38199999999998,0.41127333333333327,0.34609653282067443,0.42494834362717576,-0.003333333333333355,0.09666666666666665,0.10333333333333333,0.5839000000000001,1.19592
zipfian,mle,50,0.0,0.99,1,0.9,0.25,119.67699999999998,0.39892333333333324,0.3302282127812098,0.4114264458169568,0.01666666666666665,0.11666666666666665,0.08333333333333333,0.5839000000000001,1.16076
zipfian,mle,50,0.0,0.99,3,0.9,0.1,196.45500000000004,0.6548500000000002,0.27748827617714317,0.615187265917603,-0.060000000000000026,0.03999999999999998,0.16,1.0050000000000001,1.5578199999999998
zipfian,mle,50,0.0,0.99,3,0.9,0.25,195.76400000000004,0.6525466666666668,0.2733726237861359,0.6361266598569969,-0.060000000000000026,0.03999999999999998,0.16,0.9547000000000001,1.4221199999999998
zipfian,mle,50,0.3,0.95,1,0.9,0.1,123.38199999999998,0.41127333333333327,0.30225778026771755,0.42494834362717576,0.023333333333333317,0.12333333333333332,0.07666666666666666,0.7787,1.21732
zipfian,mle,50,0.3,0.95,1,0.9,0.25,119.67699999999998,0.39892333333333324,0.2891266865056252,0.4114264458169568,0.01666666666666665,0.11666666666666665,0.08333333333333333,0.7598,1.23238
zipfian,mle,50,0.3,0.95,3,0.9,0.1,185.75400000000002,0.6191800000000001,0.16623451250544197,0.6498829595874804,-0.062222222222222234,0.03777777777777777,0.1622222222222222,1.1560000000000001,1.4397400000000002
zipfian,mle,50,0.3,0.95,3,0.9,0.25,187.86400000000003,0.6262133333333334,0.18098825789547474,0.6500898333121261,-0.07000000000000003,0.02999999999999997,0.17,1.0992,1.4647800000000002
zipfian,mle,50,0.3,0.99,1,0.9,0.1,123.38199999999998,0.41127333333333327,0.30225778026771755,0.42494834362717576,-0.003333333333333355,0.09666666666666665,0.10333333333333333,0.7598,1.24744
zipfian,mle,50,0.3,0.99,1,0.9,0.25,119.67699999999998,0.39892333333333324,0.2891266865056252,0.4114264458169568,0.01666666666666665,0.11666666666666665,0.08333333333333333,0.7598,1.21228
zipfian,mle,50,0.3,0.99,3,0.9,0.1,189.03199999999998,0.6301066666666666,0.17785083909099192,0.6656629213483146,-0.062222222222222234,0.03777777777777777,0.1622222222222222,1.0301,1.4548
zipfian,mle,50,0.3,0.99,3,0.9,0.25,189.03199999999998,0.6301066666666666,0.17785083909099192,0.6656629213483146,-0.061111111111111116,0.03888888888888889,0.1611111111111111,1.0427000000000002,1.3970000000000002
zipfian,mle,50,0.7,0.95,1,0.9,0.1,127.58999999999997,0.4252999999999999,0.23093738600931285,0.2631021897810219,0.023333333333333317,0.12333333333333332,0.07666666666666666,1.0425,1.2763600000000002
zipfian,mle,50,0.7,0.95,1,0.9,0.25,123.88499999999998,0.41294999999999993,0.22145592728371674,0.24958029197080295,0.01666666666666665,0.11666666666666665,0.08333333333333333,1.0236,1.29142
zipfian,mle,50,0.7,0.95,3,0.9,0.1,135.286,0.4509533333333333,0.1674879588285502,0.045458204334365315,-0.061111111111111116,0.03888888888888889,0.1611111111111111,1.6018000000000001,1.56286
zipfian,mle,50,0.7,0.95,3,0.9,0.25,129.862,0.43287333333333333,0.20728779052027135,0.127395088433643,-0.061111111111111116,0.03888888888888889,0.1611111111111111,1.3503999999999998,1.5163000000000002
zipfian,mle,50,0.7,0.99,1,0.9,0.1,127.58999999999997,0.4252999999999999,0.23093738600931285,0.2631021897810219,0.003333333333333313,0.10333333333333332,0.09666666666666666,1.0236,1.3027199999999999
zipfian,mle,50,0.7,0.99,1,0.9,0.25,123.88499999999998,0.41294999999999993,0.22145592728371674,0.24958029197080295,0.01666666666666665,0.11666666666666665,0.08333333333333333,1.0236,1.2876599999999998
zipfian,mle,50,0.7,0.99,3,0.9,0.1,133.93,0.44643333333333335,0.23281436860831986,0.11856656452162073,-0.060000000000000026,0.03999999999999998,0.16,1.3252000000000002,1.51258
zipfian,mle,50,0.7,0.99,3,0.9,0.25,133.25199999999998,0.44417333333333325,0.2397823635144269,0.11702641509433964,-0.062222222222222234,0.03777777777777777,0.1622222222222222,1.4509,1.4849199999999998
zipfian,oracle,50,0.0,0.95,1,0.9,0.1,47.74399999999999,0.15914666666666663,0.03267557788016071,0.0712,0.019999999999999976,0.11999999999999998,0.08,,
